frame	ulx	uly	urx	ury	lrx	lry	llx	lly
frame00001.jpg	302.675048828125	307.626708984375	415.3861389160156	307.61676025390625	422.4312744140625	465.1915588378906	309.71136474609375	465.21527099609375
frame00002.jpg	302.69677734375	307.6590576171875	415.3647766113281	307.6551818847656	422.4034423828125	465.204345703125	309.6850280761719	465.21112060546875
frame00003.jpg	302.6507568359375	307.64697265625	415.33056640625	307.636474609375	422.3625183105469	465.19366455078125	309.6488342285156	465.1959533691406
frame00004.jpg	302.7012939453125	307.6446228027344	415.3636474609375	307.6510314941406	422.39837646484375	465.21392822265625	309.6827697753906	465.20623779296875
frame00005.jpg	302.7071838378906	307.65252685546875	415.37237548828125	307.6565856933594	422.4372253417969	465.2284240722656	309.725830078125	465.2352294921875
frame00006.jpg	302.7139892578125	307.65802001953125	415.3639831542969	307.64166259765625	422.407470703125	465.1559143066406	309.716552734375	465.16363525390625
frame00007.jpg	302.6871643066406	307.6676025390625	415.36322021484375	307.6457214355469	422.3963623046875	465.2021179199219	309.676025390625	465.19580078125
frame00008.jpg	302.7138977050781	307.68792724609375	415.36102294921875	307.6923522949219	422.4031982421875	465.1752624511719	309.7113342285156	465.2015686035156
frame00009.jpg	302.6862487792969	307.6510925292969	415.3587951660156	307.644775390625	422.4097595214844	465.1820068359375	309.68572998046875	465.1941833496094
frame00010.jpg	302.6865539550781	307.6426086425781	415.3779602050781	307.6428527832031	422.36376953125	465.17816162109375	309.6737060546875	465.2127685546875
frame00011.jpg	302.732177734375	307.6717529296875	415.3966979980469	307.6629638671875	422.4349060058594	465.17071533203125	309.7420654296875	465.1969299316406
frame00012.jpg	302.7214660644531	307.6157531738281	415.4066467285156	307.64862060546875	422.41949462890625	465.2051086425781	309.71466064453125	465.22442626953125
frame00013.jpg	302.724609375	307.6423034667969	415.3982238769531	307.6566467285156	422.4609375	465.17608642578125	309.75030517578125	465.2477722167969
frame00014.jpg	302.63470458984375	307.63507080078125	415.333740234375	307.67938232421875	422.32867431640625	465.1089172363281	309.6665954589844	465.1821594238281
frame00015.jpg	302.69384765625	307.67205810546875	415.3377685546875	307.6509094238281	422.33404541015625	465.12548828125	309.6677551269531	465.1475524902344
frame00016.jpg	302.70281982421875	307.6075439453125	415.3977355957031	307.6535339355469	422.3916015625	465.1084899902344	309.71466064453125	465.16534423828125
frame00017.jpg	302.7080993652344	307.6337890625	415.3833312988281	307.646484375	422.421875	465.1713562011719	309.71942138671875	465.194580078125
frame00018.jpg	302.7118225097656	307.6362609863281	415.38800048828125	307.6365661621094	422.41253662109375	465.196044921875	309.6970520019531	465.2187194824219
frame00019.jpg	302.6952209472656	307.6510925292969	415.3760070800781	307.6394348144531	422.3884582519531	465.1446838378906	309.7060546875	465.1715393066406
frame00020.jpg	302.7312316894531	307.68414306640625	415.39129638671875	307.67578125	422.40106201171875	465.198974609375	309.69891357421875	465.24151611328125
frame00021.jpg	302.74810791015625	307.67047119140625	415.38934326171875	307.6548767089844	422.4179382324219	465.13568115234375	309.76214599609375	465.16778564453125
frame00022.jpg	302.7003479003906	307.64923095703125	415.3879699707031	307.6456604003906	422.4045715332031	465.11444091796875	309.71978759765625	465.1613464355469
frame00023.jpg	302.68206787109375	307.66998291015625	415.3343811035156	307.6535949707031	422.3291015625	465.12811279296875	309.6307067871094	465.15289306640625
frame00024.jpg	302.7358093261719	307.6700744628906	415.4039306640625	307.6616516113281	422.4209899902344	465.1575622558594	309.7420349121094	465.2174377441406
frame00025.jpg	302.73651123046875	307.6589660644531	415.3739013671875	307.63800048828125	422.453369140625	465.1708679199219	309.755615234375	465.1880187988281
frame00026.jpg	302.71575927734375	307.65228271484375	415.3736572265625	307.68951416015625	422.4388122558594	465.1649169921875	309.7185974121094	465.217529296875
frame00027.jpg	302.70806884765625	307.67095947265625	415.3914794921875	307.6440734863281	422.4104919433594	465.16064453125	309.6957092285156	465.2052307128906
frame00028.jpg	302.7327575683594	307.6675109863281	415.4088134765625	307.6615295410156	422.46636962890625	465.1625671386719	309.7652893066406	465.2303466796875
frame00029.jpg	302.7091369628906	307.661865234375	415.376220703125	307.6668701171875	422.4042053222656	465.1207580566406	309.7066955566406	465.22027587890625
frame00030.jpg	302.7081604003906	307.6524353027344	415.37298583984375	307.6535339355469	422.4134826660156	465.12188720703125	309.7349548339844	465.18731689453125
frame00031.jpg	302.6940002441406	307.6768493652344	415.38372802734375	307.66705322265625	422.38726806640625	465.16943359375	309.65753173828125	465.21514892578125
frame00032.jpg	302.7340087890625	307.6694641113281	415.3902587890625	307.6466064453125	422.4011535644531	465.14739990234375	309.7123718261719	465.1788635253906
frame00033.jpg	302.6907043457031	307.6695861816406	415.36370849609375	307.6789855957031	422.34796142578125	465.1803283691406	309.6376953125	465.23394775390625
frame00034.jpg	302.7158203125	307.6562805175781	415.3689880371094	307.652587890625	422.39288330078125	465.12701416015625	309.6929931640625	465.1438903808594
frame00035.jpg	302.7300109863281	307.6425476074219	415.3981628417969	307.6316223144531	422.39794921875	465.1340026855469	309.7327880859375	465.1549377441406
frame00036.jpg	302.7063903808594	307.658447265625	415.3571472167969	307.6473693847656	422.4166259765625	465.1758728027344	309.6777648925781	465.1893005371094
frame00037.jpg	302.68994140625	307.67083740234375	415.36077880859375	307.6767272949219	422.39111328125	465.16400146484375	309.6805725097656	465.2156982421875
frame00038.jpg	302.70172119140625	307.6658630371094	415.3712158203125	307.65570068359375	422.48797607421875	465.2111511230469	309.756103515625	465.2599792480469
frame00039.jpg	302.678955078125	307.6514892578125	415.3525390625	307.6298828125	422.3910217285156	465.16278076171875	309.681396484375	465.192626953125
